id,title,date,genres,keyword1,keyword2,keyword3,keyword4,keyword5,link,profile
30,"[계절학기 수강생, 강의평가] 2023년 하계 계절학기 강의평가 실시 안내",2023-07-05,학사,강의,평가,수업,하나,방법,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=2&mode=view&idx=92838,
31,"[전체, 근무시간]하계방학 중 근무시간 조정 안내",2023-06-30,학사,방학,근무시간,조정,안내,학년,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=2&mode=view&idx=92814,
32,"[졸업]2023학년도 1학기 졸업시험(영어,컴퓨터) 대체 프로그램 안내(추가)",2023-06-28,학사,학년,학기,졸업,시험,영어,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=2&mode=view&idx=92797,
33,[전체] 2023-2학기 부전공/복수전공 신청공고,2023-06-27,학사,기부,전공,복수,신청,아래,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=2&mode=view&idx=92783,
34,[졸업] 2023-2학기 학사학위취득유예(졸업유예) 신청 공고,2023-06-21,학사,학년,학기,졸업,예정자,학사,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=2&mode=view&idx=92751,
35,"[전체, 강의평가] 중간강의평가(1차, 10/13~10/19) 실시 안내(2023-2학기)",2023-10-11,학사,수업,관리,강화,학기,부터,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=93565,
36,[전체] 2023-2 학생선택형P/N 신청 안내,2023-10-06,학사,학생,선택,신청,다음,공지,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=93550,
37,[전체] 2023-2 중간고사 안내,2023-10-06,학사,학기,중간고사,실시,아래,안내,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=93534,
38,[전체] 10월2일 임시공휴일 지정에 따른 휴보강안내,2023-09-21,학사,추석,연휴,임시,공휴일,지정,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=93429,
39,[전체] 2023-1 성적 열람 안내,2023-06-20,학사,성적,열람,방법,안내,학년,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=92744,
40,2023-2학기 조기졸업 신청 공고,2023-06-16,학사,학기,조기졸업,신청,공고,학년,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=3&mode=view&idx=92718,
